ID,COUNTRY,ISO-CODE
234,SOUTH AFRICA,ZAF
235,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SGS
237,SOUTH SUDAN,SSD
238,SPAIN,ESP
239,SRI LANKA,LKA
240,SUDAN,SDN
241,SURINAME,SUR
242,SVALBARD JAN MAYEN,SJM
243,SWEDEN,SWE
244,SWITZERLAND,CHE
245,SYRIAN ARAB REPUBLIC,SYR
246,TAIWAN (PROVINCE OF CHINA),TWN
247,TAJIKISTAN,TJK
248,"TANZANIA, THE UNITED REPUBLIC OF",TZA
249,THAILAND,THA
250,TIMOR-LESTE,TLS
251,TOGO,TGO
252,TOKELAU,TKL
253,TONGA,TON
254,TRINIDAD AND TOBAGO,TTO
255,TUNISIA,TUN
256,TURKEY,TUR
257,TURKMENISTAN,TKM
258,TURKS AND CAICOS ISLANDS,TCA
259,TUVALU,TUV
260,UGANDA,UGA
261,UKRAINE,UKR
262,UNITED ARAB EMIRATES,ARE
263,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,GBR
264,UNITED STATES MINOR OUTLYING ISLANDS,UMI
265,UNITED STATES OF AMERICA,USA
267,URUGUAY,URY
268,UZBEKISTAN,UZB
269,VANUATU,VUT
271,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN
272,VIET NAM,VNM
273,VIRGIN ISLANDS (BRITISH),VGB
274,VIRGIN ISLANDS (U.S.),VIR
276,WALLIS AND FUTUNA,WLF
277,WESTERN SAHARA,ESH
278,YEMEN,YEM
279,ZAMBIA,ZMB
280,ZIMBABWE,ZWE
